,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,2.033738421562243,0.0,2.033738421562235,uptake,0.0,0.0,0.0,secretion
1,arg__L_e,EX_arg__L_e,4.3554004531652994,0.0,103.91986040785189,uptake,4.614375290989981,0.0,57.256563475077165,uptake
2,bz_e,EX_bz_e,0.0014724537692585675,-1000.0,0.0014724537695656177,uptake,0.0015600067922695669,0.0014040061130426054,0.0015600067922695632,uptake
3,ca2_e,EX_ca2_e,0.07664121868990839,0.0689770968209177,0.07664121868990859,uptake,0.0811983535376308,0.07307851818386756,0.08119835353763072,uptake
4,cgly_e,EX_cgly_e,3.6264769392315372,0.0,1000.0,uptake,9.142045404465634,0.0,60.50941397798972,uptake
5,cl_e,EX_cl_e,0.07664121868990839,0.0689770968209177,0.07664121868990827,uptake,0.0811983535376308,0.07307851818386756,0.08119835353763115,uptake
6,cobalt2_e,EX_cobalt2_e,0.0014724537692585675,0.0013252083923327134,0.001472453769258571,uptake,0.001560006792269565,0.0014040061130426128,0.0015600067922695632,uptake
7,cu2_e,EX_cu2_e,0.010439697224043238,0.009395727501638933,0.01043969722404314,uptake,0.01106044815719121,0.009954403341472066,0.011060448157191177,uptake
8,fe2_e,EX_fe2_e,0.09887527060571283,-999.8965277287311,0.0988752706057127,uptake,0.0,-999.7960961922038,4.837155492975102,secretion
9,fe3_e,EX_fe3_e,0.11496919030370897,0.10347227127329006,1000.0,uptake,0.2265597864413091,0.10962479730631003,1000.0,uptake
10,fol_e,EX_fol_e,0.009850715716340367,0.0,0.009850715716339564,uptake,0.010436445440283357,-8.67426345774285,0.010436445440283382,uptake
11,gam_e,EX_gam_e,335.0839980394547,0.0,570.7188137935949,uptake,507.0464869804081,0.0,613.4534743964314,uptake
12,gln__L_e,EX_gln__L_e,5.276449734911191,0.0,104.74880476141564,uptake,4.1122715048301135,0.0,103.73758361344595,uptake
13,glu__L_e,EX_glu__L_e,12.740347340359707,-1000.0,613.2080339963618,uptake,9.10151642800251,-1000.0,61.892409139551546,uptake
14,gua_e,EX_gua_e,3.5650019943650033,0.0,1000.0,uptake,3.7769792449676203,0.0,12.082937579110492,uptake
