,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,0.896354758893207,-34.67295823253676,1000.0,uptake,-124.46408037260527,-1000.0,1000.0,secretion
1,akg_e,EX_akg_e,1000.0,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
2,arg__L_e,EX_arg__L_e,10.13278937715122,0.0,1000.0,uptake,24.320005598850134,-144.77866162770147,1000.0,uptake
3,asn__L_e,EX_asn__L_e,8.257693052243422,-92.56807625298052,1000.0,uptake,19.819531798124416,-232.162421381689,1000.0,uptake
4,asp__L_e,EX_asp__L_e,8.253650788942117,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
5,ca2_e,EX_ca2_e,0.1783049193624983,0.16047442742624854,0.17830491936249684,uptake,0.42795487755590056,0.38515938980031067,0.4279548775559009,uptake
6,cgly_e,EX_cgly_e,3.1645783181149367,0.0,36.75030825561104,uptake,0.0,-1000.0,499.99999999999966,secretion
7,cit_e,EX_cit_e,0.011681455812221306,0.010513310230999181,200.01051331021125,uptake,0.0,0.0,1000.0,secretion
8,cl_e,EX_cl_e,0.1783049193624983,0.16047442742624854,0.17830491936249884,uptake,0.42795487755590056,0.38515938980031067,0.4279548775559003,uptake
9,cobalt2_e,EX_cobalt2_e,0.003425646865754052,0.003083082179178648,0.0034256468657540237,uptake,0.008221995726338152,0.00739979615370434,0.008221995726338149,uptake
10,cu_e,EX_cu_e,0.024287836278196216,0.021859052650329124,100.02185905265054,uptake,0.0,0.0,1000.0,secretion
11,drib_e,EX_drib_e,0.8963547588932073,0.0,0.8963547588932071,uptake,0.0,0.0,0.0,secretion
12,fe2_e,EX_fe2_e,0.49750669431346106,-999.5522439751176,11.969006132643472,uptake,0.0,-1000.0,1000.0,secretion
13,fru_e,EX_fru_e,504.3349391509798,0.0,612.0643009674703,uptake,0.0,-1000.0,499.9999999999978,secretion
14,gln__L_e,EX_gln__L_e,9.030210676939621,0.0,1000.0,uptake,21.69200910484067,0.0,1000.0,uptake
15,glu__L_e,EX_glu__L_e,0.6718036068434611,-1000.0,1000.0,uptake,112.25342769246262,-1000.0,1000.0,uptake
16,gly_e,EX_gly_e,25.22214720436196,-185.6049351513068,1000.0,uptake,9.148945911568052,-1000.0,1000.0,uptake
17,gua_e,EX_gua_e,14.411353799542496,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
18,h2s_e,EX_h2s_e,0.0076391925106315305,-199.99312472673742,67.2631096312356,uptake,7.577062381564244,-493.18064385658386,1000.0,uptake
19,his__L_e,EX_his__L_e,11.57666527459789,-25.650578176521726,1000.0,uptake,7.78935431121824,-76.32291445323551,7.789354311218239,uptake
20,ile__L_e,EX_ile__L_e,9.952497582606597,-991.0427521756541,9.952497582605426,uptake,23.88728196377299,-978.5014462326004,23.887281963772978,uptake
21,k_e,EX_k_e,6.686622886671315,6.017960598004186,6.686622886671261,uptake,16.04876011811125,14.443884106300153,16.04876011811126,uptake
22,leu__L_e,EX_leu__L_e,15.43360108075035,-786.0636463948667,15.433601080750334,uptake,37.04263956582856,-966.6616243907572,37.042639565828544,uptake
23,lys__L_e,EX_lys__L_e,11.755484040990256,0.0,1000.0,uptake,28.21468275445925,-474.60678552098625,1000.0,uptake
24,met__L_e,EX_met__L_e,5.264739642102762,0.0,5.272338558204249,uptake,12.654391402449763,0.0,136.38895226220453,uptake
25,mg2_e,EX_mg2_e,0.2971748656041639,0.2674573790437476,0.2971748656041614,uptake,0.7132581292598345,0.6419323163338514,0.7132581292598342,uptake
26,mn2_e,EX_mn2_e,0.02367121984236052,0.021304097858124475,0.02367121984236032,uptake,0.05681399046899668,0.051132591422097036,0.056813990468996656,uptake
